g1,3DMAX
g2,3DMAX (Normal)
g3,3DMAX (Holo)
g4,3DMAX (Foil)
g5,compLexity Gaming
g6,compLexity Gaming (Normal)
g7,compLexity Gaming (Holo)
g8,compLexity Gaming (Foil)
g9,Team Dignitas
g10,Team Dignitas (Normal)
g11,Team Dignitas (Holo)
g12,Team Dignitas (Foil)
g13,Fnatic
g14,Fnatic (Normal)
g15,Fnatic (Holo)
g16,Fnatic (Foil)
g17,HellRaisers
g18,HellRaisers (Normal)
g19,HellRaisers (Holo)
g20,HellRaisers (Foil)
g21,iBUYPOWER
g22,iBUYPOWER (Normal)
g23,iBUYPOWER (Holo)
g24,Team LDLC.com
g25,Team LDLC.com (Normal)
g26,Team LDLC.com (Holo)
g27,LGB eSports
g28,LGB eSports (Normal)
g29,LGB eSports (Holo)
g30,LGB eSports (Foil)
g31,mousesports
g32,mousesports (Normal)
g33,mousesports (Holo)
g34,mousesports (Foil)
g35,Clan-Mystik
g36,Clan-Mystik (Normal)
g37,Clan-Mystik (Holo)
g38,Natus Vincere
g39,Natus Vincere (Normal)
g40,Natus Vincere (Holo)
g41,Natus Vincere (Foil)
g42,Ninjas in Pyjamas
g43,Ninjas in Pyjamas (Normal)
g44,Ninjas in Pyjamas (Holo)
g45,Ninjas in Pyjamas (Foil)
g46,Reason Gaming
g47,Reason Gaming (Normal)
g48,Reason Gaming (Holo)
g49,Titan
g50,Titan (Normal)
g51,Titan (Holo)
g52,Titan (Foil)
g53,Virtus.Pro
g54,Virtus.Pro (Normal)
g55,Virtus.Pro (Holo)
g56,Virtus.Pro (Foil)
g57,Vox Eminor
g58,Vox Eminor (Normal)
g59,Vox Eminor (Holo)
g60,Vox Eminor (Foil)
g61,ESL Wolf
g62,ESL Wolf (Foil)
g63,ESL Skull
g64,ESL Skull (Foil)
g65,Cloud9
g66,Cloud9 (Normal)
g67,Cloud9 (Holo)
g68,Cloud9 (Foil)
g69,Copenhagen Wolves
g70,Copenhagen Wolves (Normal)
g71,Copenhagen Wolves (Holo)
g72,dAT team
g73,dAT team (Normal)
g74,dAT team (Holo)
g75,Epsilon eSports
g76,Epsilon eSports (Normal)
g77,Epsilon eSports (Holo)
g78,London Conspiracy
g79,London Conspiracy (Normal)
g80,London Conspiracy (Holo)
g81,MTS GameGod Wolf
g82,MTS GameGod Wolf (Normal)
g83,MTS GameGod Wolf (Holo)
g84,Cloud9 (Gold)
g85,Fnatic (Gold)
g86,Ninjas in Pyjamas (Gold)
g87,Natus Vincere (Gold)
g88,Virtus.Pro (Gold)
g89,ESC Gaming
g90,ESC Gaming (Normal)
g91,myXMG
g92,myXMG (Normal)
g93,PENTA Sports
g94,PENTA Sports (Normal)
g95,Bravado Gaming
g96,Bravado Gaming (Normal)
g97,Planetkey Dynamics
g98,Planetkey Dynamics (Normal)
g99,3DMAX (Gold)
g100,Flipsid3 Tactics
g101,Flipsid3 Tactics (Normal)
g102,Cloud9 G2A
g103,Cloud9 G2A (Normal)
g104,Cloud9 G2A (Foil)
g105,Cloud9 G2A (Holo)
g106,Counter Logic Gaming
g107,Counter Logic Gaming (Normal)
g108,Counter Logic Gaming (Foil)
g109,Counter Logic Gaming (Holo)
g110,ESL One
g111,ESL One (Normal)
g112,ESL One (Foil)
g113,Flipsid3 Tactics (Foil)
g114,Flipsid3 Tactics (Holo)
g115,Keyd Stars
g116,Keyd Stars (Normal)
g117,Keyd Stars (Foil)
