g1,Sticker | 3DMAX
g2,Sticker | 3DMAX (Normal)
g3,Sticker | 3DMAX (Holo)
g4,Sticker | 3DMAX (Foil)
g5,Sticker | compLexity Gaming
g6,Sticker | compLexity Gaming (Normal)
g7,Sticker | compLexity Gaming (Holo)
g8,Sticker | compLexity Gaming (Foil)
g9,Sticker | Team Dignitas
g10,Sticker | Team Dignitas (Normal)
g11,Sticker | Team Dignitas (Holo)
g12,Sticker | Team Dignitas (Foil)
g13,Sticker | Fnatic
g14,Sticker | Fnatic (Normal)
g15,Sticker | Fnatic (Holo)
g16,Sticker | Fnatic (Foil)
g17,Sticker | HellRaisers
g18,Sticker | HellRaisers (Normal)
g19,Sticker | HellRaisers (Holo)
g20,Sticker | HellRaisers (Foil)
g21,Sticker | iBUYPOWER
g22,Sticker | iBUYPOWER (Normal)
g23,Sticker | iBUYPOWER (Holo)
g24,Sticker | Team LDLC.com
g25,Sticker | Team LDLC.com (Normal)
g26,Sticker | Team LDLC.com (Holo)
g27,Sticker | LGB eSports
g28,Sticker | LGB eSports (Normal)
g29,Sticker | LGB eSports (Holo)
g30,Sticker | LGB eSports (Foil)
g31,Sticker | mousesports
g32,Sticker | mousesports (Normal)
g33,Sticker | mousesports (Holo)
g34,Sticker | mousesports (Foil)
g35,Sticker | Clan-Mystik
g36,Sticker | Clan-Mystik (Normal)
g37,Sticker | Clan-Mystik (Holo)
g38,Sticker | Natus Vincere
g39,Sticker | Natus Vincere (Normal)
g40,Sticker | Natus Vincere (Holo)
g41,Sticker | Natus Vincere (Foil)
g42,Sticker | Ninjas in Pyjamas
g43,Sticker | Ninjas in Pyjamas (Normal)
g44,Sticker | Ninjas in Pyjamas (Holo)
g45,Sticker | Ninjas in Pyjamas (Foil)
g46,Sticker | Reason Gaming
g47,Sticker | Reason Gaming (Normal)
g48,Sticker | Reason Gaming (Holo)
g49,Sticker | Titan
g50,Sticker | Titan (Normal)
g51,Sticker | Titan (Holo)
g52,Sticker | Titan (Foil)
g53,Sticker | Virtus.Pro
g54,Sticker | Virtus.Pro (Normal)
g55,Sticker | Virtus.Pro (Holo)
g56,Sticker | Virtus.Pro (Foil)
g57,Sticker | Vox Eminor
g58,Sticker | Vox Eminor (Normal)
g59,Sticker | Vox Eminor (Holo)
g60,Sticker | Vox Eminor (Foil)
g61,Sticker | ESL Wolf
g62,Sticker | ESL Wolf (Foil)
g63,Sticker | ESL Skull
g64,Sticker | ESL Skull (Foil)
g65,Sticker | Cloud9
g66,Sticker | Cloud9 (Normal)
g67,Sticker | Cloud9 (Holo)
g68,Sticker | Cloud9 (Foil)
g69,Sticker | Copenhagen Wolves
g70,Sticker | Copenhagen Wolves (Normal)
g71,Sticker | Copenhagen Wolves (Holo)
g72,Sticker | dAT team
g73,Sticker | dAT team (Normal)
g74,Sticker | dAT team (Holo)
g75,Sticker | Epsilon eSports
g76,Sticker | Epsilon eSports (Normal)
g77,Sticker | Epsilon eSports (Holo)
g78,Sticker | London Conspiracy
g79,Sticker | London Conspiracy (Normal)
g80,Sticker | London Conspiracy (Holo)
g81,Sticker | MTS GameGod Wolf
g82,Sticker | MTS GameGod Wolf (Normal)
g83,Sticker | MTS GameGod Wolf (Holo)
g84,Sticker | Cloud9 (Gold)
g85,Sticker | Fnatic (Gold)
g86,Sticker | Ninjas in Pyjamas (Gold)
g87,Sticker | Natus Vincere (Gold)
g88,Sticker | Virtus.Pro (Gold)
g89,Sticker | ESC Gaming
g90,Sticker | ESC Gaming (Normal)
g91,Sticker | myXMG
g92,Sticker | myXMG (Normal)
g93,Sticker | PENTA Sports
g94,Sticker | PENTA Sports (Normal)
g95,Sticker | Bravado Gaming
g96,Sticker | Bravado Gaming (Normal)
g97,Sticker | Planetkey Dynamics
g98,Sticker | Planetkey Dynamics (Normal)
g99,Sticker | 3DMAX (Gold)
g100,Sticker | Flipsid3 Tactics
g101,Sticker | Flipsid3 Tactics (Normal)
g102,Sticker | Cloud9 G2A
g103,Sticker | Cloud9 G2A (Normal)
g104,Sticker | Cloud9 G2A (Foil)
g105,Sticker | Cloud9 G2A (Holo)
g106,Sticker | Counter Logic Gaming
g107,Sticker | Counter Logic Gaming (Normal)
g108,Sticker | Counter Logic Gaming (Foil)
g109,Sticker | Counter Logic Gaming (Holo)
g110,Sticker | ESL One
g111,Sticker | ESL One (Normal)
g112,Sticker | ESL One (Foil)
g113,Sticker | Flipsid3 Tactics (Foil)
g114,Sticker | Flipsid3 Tactics (Holo)
g115,Sticker | Keyd Stars
g116,Sticker | Keyd Stars (Normal)
g117,Sticker | Keyd Stars (Foil)
g118,Sticker | Keyd Stars (Holo)
g119,Sticker | Ninjas in Pyjamas 
g120,Sticker | Ninjas in Pyjamas  (Normal)
g121,Sticker | PENTA Sports 
g122,Sticker | PENTA Sports  (Normal)
g123,Sticker | PENTA Sports (Foil)
g124,Sticker | PENTA Sports (Holo)
g125,Sticker | Team EnVyUs
g126,Sticker | Team EnVyUs (Normal)
g127,Sticker | Team EnVyUs (Foil)
g128,Sticker | Team EnVyUs (Holo)
g129,Sticker | TSM Kinguin
g130,Sticker | TSM Kinguin (Normal)
g131,Sticker | TSM Kinguin (Foil)
g132,Sticker | TSM Kinguin (Holo)
g133,Sticker | Virtus.pro
g134,Sticker | Virtus.pro (Normal)
g135,Sticker | Virtus.pro (Foil)
g136,Sticker | Virtus.pro (Holo)
g137,Sticker | Virtus.pro (Gold)
g138,Sticker | Vox Eminor 
g139,Sticker | Vox Eminor  (Normal)
g140,Sticker | Renegades
g141,Sticker | Renegades (Normal)
g142,Sticker | Renegades (Foil)
g143,Sticker | Renegades (Gold)
g144,Sticker | Team Kinguin
g145,Sticker | Team Kinguin (Normal)
g146,Sticker | Team Kinguin (Foil)
g147,Sticker | Team eBettle
g148,Sticker | Team eBettle (Normal)
g149,Sticker | Team eBettle (Foil)
g150,Sticker | Luminosity Gaming
g151,Sticker | Luminosity Gaming (Normal)
g152,Sticker | Luminosity Gaming (Foil)
g153,Sticker | Team SoloMid
g154,Sticker | Team SoloMid (Normal)
g155,Sticker | Team SoloMid (Foil)
g156,Sticker | Team Immunity
g157,Sticker | Team Immunity (Normal)
g158,Sticker | Team Immunity (Foil)
g159,Sticker | ESL
g160,Sticker | ESL (Normal)
g161,Sticker | ESL (Foil)
g162,Sticker | Vexed Gaming
g163,Sticker | Vexed Gaming (Normal)
g164,Sticker | Vexed Gaming (Foil)
g165,Sticker | Team Liquid
g166,Sticker | Team Liquid (Normal)
g167,Sticker | Team Liquid (Foil)
g168,Sticker | Team Liquid (Gold)
g169,Sticker | G2 Esports
g170,Sticker | G2 Esports (Normal)
g171,Sticker | G2 Esports (Foil)
g172,Sticker | G2 Esports (Gold)
g173,Sticker | DreamHack
g174,Sticker | DreamHack (Normal)
g175,Sticker | DreamHack (Foil)
g176,Sticker | MLG
g177,Sticker | MLG (Normal)
g178,Sticker | MLG (Holo)
g179,Sticker | MLG (Foil)
g180,Sticker | Splyce
g181,Sticker | Splyce (Normal)
g182,Sticker | Splyce (Holo)
g183,Sticker | Splyce (Foil)
g184,Sticker | Gambit Gaming
g185,Sticker | Gambit Gaming (Normal)
g186,Sticker | Gambit Gaming (Holo)
g187,Sticker | Gambit Gaming (Foil)
g188,Sticker | Gambit Gaming (Gold)
g189,Sticker | Team Liquid (Holo)
g190,Sticker | G2 Esports (Holo)
g191,Sticker | FaZe Clan
g192,Sticker | FaZe Clan (Normal)
g193,Sticker | FaZe Clan (Holo)
g194,Sticker | FaZe Clan (Foil)
g195,Sticker | FaZe Clan (Gold)
g196,Sticker | Astralis
g197,Sticker | Astralis (Normal)
g198,Sticker | Astralis (Holo)
g199,Sticker | Astralis (Foil)
g200,Sticker | Astralis (Gold)
g201,Sticker | Luminosity Gaming (Holo)
g202,Sticker | ESL (Holo)
g203,Sticker | OpTic Gaming
g204,Sticker | OpTic Gaming (Normal)
g205,Sticker | OpTic Gaming (Holo)
g206,Sticker | OpTic Gaming (Foil)
g207,Sticker | SK Gaming
g208,Sticker | SK Gaming (Normal)
g209,Sticker | SK Gaming (Holo)
g210,Sticker | SK Gaming (Foil)
g211,Sticker | GODSENT
g212,Sticker | GODSENT (Normal)
g213,Sticker | GODSENT (Holo)
g214,Sticker | GODSENT (Foil)
g215,Sticker | GODSENT (Gold)
g216,Sticker | North
g217,Sticker | North (Normal)
g218,Sticker | North (Holo)
g219,Sticker | North (Foil)
g220,Sticker | North (Gold)
g221,Sticker | ELEAGUE
g222,Sticker | ELEAGUE (Normal)
g223,Sticker | ELEAGUE (Holo)
g224,Sticker | ELEAGUE (Foil)
g225,Sticker | Gambit
g226,Sticker | Gambit (Normal)
g227,Sticker | Gambit (Holo)
g228,Sticker | Gambit (Foil)
g229,Sticker | BIG
g230,Sticker | BIG (Normal)
g231,Sticker | BIG (Holo)
g232,Sticker | BIG (Foil)
g233,Sticker | BIG (Gold)
g234,Sticker | Immortals
g235,Sticker | Immortals (Normal)
g236,Sticker | Immortals (Holo)
g237,Sticker | Immortals (Foil)
g238,Sticker | Vega Squadron
g239,Sticker | Vega Squadron (Normal)
g240,Sticker | Vega Squadron (Holo)
g241,Sticker | Vega Squadron (Foil)
g242,Sticker | PGL
g243,Sticker | PGL (Normal)
g244,Sticker | PGL (Holo)
g245,Sticker | PGL (Foil)
g246,Sticker | PGL (Gold)
g247,Sticker | Gambit Esports
g248,Sticker | Gambit Esports (Normal)
g249,Sticker | Gambit Esports (Holo)
g250,Sticker | Gambit Esports (Foil)
g251,Sticker | 100 Thieves
g252,Sticker | 100 Thieves (Normal)
g253,Sticker | 100 Thieves (Holo)
g254,Sticker | 100 Thieves (Foil)
g255,Sticker | 100 Thieves (Gold)
g256,Sticker | Sprout Esports
g257,Sticker | Sprout Esports (Normal)
g258,Sticker | Sprout Esports (Holo)
g259,Sticker | Sprout Esports (Foil)
g260,Sticker | Sprout Esports (Gold)
g261,Sticker | Space Soldiers
g262,Sticker | Space Soldiers (Normal)
g263,Sticker | Space Soldiers (Holo)
g264,Sticker | Space Soldiers (Foil)
g265,Sticker | Avangar
g266,Sticker | Avangar (Normal)
g267,Sticker | Avangar (Holo)
g268,Sticker | Avangar (Foil)
g269,Sticker | Renegades (Holo)
g270,Sticker | Misfits Gaming
g271,Sticker | Misfits Gaming (Normal)
g272,Sticker | Misfits Gaming (Holo)
g273,Sticker | Misfits Gaming (Foil)
g274,Sticker | Quantum Bellator Fire
g275,Sticker | Quantum Bellator Fire (Normal)
g276,Sticker | Quantum Bellator Fire (Holo)
g277,Sticker | Quantum Bellator Fire (Foil)
g278,Sticker | Tyloo
g279,Sticker | Tyloo (Normal)
g280,Sticker | Tyloo (Holo)
g281,Sticker | Tyloo (Foil)
g282,Sticker | Tyloo (Gold)
g283,Sticker | Flash Gaming
g284,Sticker | Flash Gaming (Normal)
g285,Sticker | Flash Gaming (Holo)
g286,Sticker | Flash Gaming (Foil)
g287,Sticker | MIBR
g288,Sticker | MIBR (Normal)
g289,Sticker | MIBR (Holo)
g290,Sticker | MIBR (Foil)
g291,Sticker | MIBR (Gold)
g292,Sticker | Winstrike Team
g293,Sticker | Winstrike Team (Normal)
g294,Sticker | Winstrike Team (Holo)
g295,Sticker | Winstrike Team (Foil)
g296,Sticker | Rogue
g297,Sticker | Rogue (Normal)
g298,Sticker | Rogue (Holo)
g299,Sticker | Rogue (Foil)
g300,Sticker | Team Spirit
g301,Sticker | Team Spirit (Normal)
g302,Sticker | Team Spirit (Holo)
g303,Sticker | Team Spirit (Foil)
g304,Sticker | Team Spirit (Gold)
g305,Sticker | FACEIT
g306,Sticker | FACEIT (Normal)
g307,Sticker | FACEIT (Holo)
g308,Sticker | FACEIT (Foil)
g309,Sticker | ENCE
g310,Sticker | ENCE (Normal)
g311,Sticker | ENCE (Holo)
g312,Sticker | ENCE (Foil)
g313,Sticker | ENCE (Gold)
g314,Sticker | FURIA
g315,Sticker | FURIA (Normal)
g316,Sticker | FURIA (Holo)
g317,Sticker | FURIA (Foil)
g318,Sticker | FURIA (Gold)
g319,Sticker | Grayhound Gaming
g320,Sticker | Grayhound Gaming (Normal)
g321,Sticker | Grayhound Gaming (Holo)
g322,Sticker | Grayhound Gaming (Foil)
g323,Sticker | Grayhound Gaming (Gold)
g324,Sticker | NRG
g325,Sticker | NRG (Normal)
g326,Sticker | NRG (Holo)
g327,Sticker | NRG (Foil)
g328,Sticker | ViCi Gaming
g329,Sticker | ViCi Gaming (Normal)
g330,Sticker | ViCi Gaming (Holo)
g331,Sticker | ViCi Gaming (Foil)
g332,Sticker | Vitality
g333,Sticker | Vitality (Normal)
g334,Sticker | Vitality (Holo)
g335,Sticker | Vitality (Foil)
g336,Sticker | Vitality (Gold)
g337,Sticker | IEM
g338,Sticker | IEM (Normal)
g339,Sticker | IEM (Holo)
g340,Sticker | IEM (Foil)
g341,Sticker | IEM (Gold)
g342,Sticker | forZe eSports
g343,Sticker | forZe eSports (Normal)
g344,Sticker | forZe eSports (Holo)
g345,Sticker | forZe eSports (Foil)
g346,Sticker | forZe eSports (Gold)
g347,Sticker | CR4ZY
g348,Sticker | CR4ZY (Normal)
g349,Sticker | CR4ZY (Holo)
g350,Sticker | CR4ZY (Foil)
g351,Sticker | Syman Gaming
g352,Sticker | Syman Gaming (Normal)
g353,Sticker | Syman Gaming (Holo)
g354,Sticker | Syman Gaming (Foil)
g355,Sticker | DreamEaters
g356,Sticker | DreamEaters (Normal)
g357,Sticker | DreamEaters (Holo)
g358,Sticker | DreamEaters (Foil)
g359,Sticker | INTZ E-SPORTS CLUB
g360,Sticker | INTZ E-SPORTS CLUB (Normal)
g361,Sticker | INTZ E-SPORTS CLUB (Holo)
g362,Sticker | INTZ E-SPORTS CLUB (Foil)
g363,Sticker | StarLadder
g364,Sticker | StarLadder (Normal)
g365,Sticker | StarLadder (Holo)
g366,Sticker | StarLadder (Foil)
g367,Sticker | Heroic
g368,Sticker | Heroic (Normal)
g369,Sticker | Heroic (Holo)
g370,Sticker | Heroic (Foil)
g371,Sticker | Heroic (Gold)
g372,Sticker | G2
g373,Sticker | G2 (Normal)
g374,Sticker | G2 (Holo)
g375,Sticker | G2 (Foil)
g376,Sticker | G2 (Gold)
g377,Sticker | OG
g378,Sticker | OG (Normal)
g379,Sticker | OG (Holo)
g380,Sticker | OG (Foil)
g381,Sticker | OG (Gold)
g382,Sticker | FaZe
g383,Sticker | FaZe (Normal)
g384,Sticker | FaZe (Holo)
g385,Sticker | FaZe (Foil)
g386,Sticker | FaZe (Gold)
g387,Sticker | Spirit
g388,Sticker | Spirit (Normal)
g389,Sticker | Spirit (Holo)
g390,Sticker | Spirit (Foil)
g391,Sticker | Spirit (Gold)
g392,Sticker | Nemiga
g393,Sticker | Nemiga (Normal)
g394,Sticker | Nemiga (Holo)
g395,Sticker | Nemiga (Foil)
g396,Sticker | Nemiga (Gold)
g397,Sticker | ESPADA
g398,Sticker | ESPADA (Normal)
g399,Sticker | ESPADA (Holo)
g400,Sticker | ESPADA (Foil)
g401,Sticker | ESPADA (Gold)
g402,Sticker | Evil Geniuses
g403,Sticker | Evil Geniuses (Normal)
g404,Sticker | Evil Geniuses (Holo)
g405,Sticker | Evil Geniuses (Foil)
g406,Sticker | Evil Geniuses (Gold)
g407,Sticker | Liquid
g408,Sticker | Liquid (Normal)
g409,Sticker | Liquid (Holo)
g410,Sticker | Liquid (Foil)
g411,Sticker | Liquid (Gold)
g412,Sticker | Gen.G
g413,Sticker | Gen.G (Normal)
g414,Sticker | Gen.G (Holo)
g415,Sticker | Gen.G (Foil)
