sticker_id,market_hash_name
s6405,Sticker | 100 Thieves (Foil) | Boston 2018
s6406,Sticker | 100 Thieves (Holo) | Boston 2018
s6407,Sticker | 100 Thieves | Boston 2018
s6408,Sticker | 3DMAX (Foil) | Katowice 2015
s6409,Sticker | 3DMAX (Holo) | Katowice 2014
s6410,Sticker | 3DMAX (Holo) | Katowice 2015
s6411,Sticker | 3DMAX | Katowice 2014
s6412,Sticker | 3DMAX | Katowice 2015
s6413,Sticker | ANGE1 (Foil) | Atlanta 2017
s6414,Sticker | ANGE1 | Atlanta 2017
s6415,Sticker | AZR (Foil) | Boston 2018
s6416,Sticker | AZR (Foil) | Cologne 2015
s6417,Sticker | AZR (Gold) | Boston 2018
s6418,Sticker | AZR | Boston 2018
s6419,Sticker | AZR | Cologne 2015
s6420,Sticker | AZR | London 2018
s6421,Sticker | Aces High
s6422,Sticker | Aces High (Holo)
s6423,Sticker | AdreN  | MLG Columbus 2016
s6424,Sticker | AdreN (Foil)  | MLG Columbus 2016
s6425,Sticker | AdreN (Foil) | Atlanta 2017
s6426,Sticker | AdreN (Foil) | Boston 2018
s6427,Sticker | AdreN (Foil) | Cologne 2016
s6428,Sticker | AdreN (Foil) | Krakow 2017
s6429,Sticker | AdreN (Gold) | Boston 2018
s6430,Sticker | AdreN (Gold) | Krakow 2017
s6431,Sticker | AdreN | Atlanta 2017
s6432,Sticker | AdreN | Boston 2018
s6433,Sticker | AdreN | Cologne 2016
s6434,Sticker | AdreN | Krakow 2017
s6435,Sticker | AdreN | London 2018
s6436,Sticker | AmaNEk (Foil) | Boston 2018
s6437,Sticker | AmaNEk (Gold) | Boston 2018
s6438,Sticker | AmaNEk | Boston 2018
s6439,Sticker | Astralis (Foil) | Atlanta 2017
s6440,Sticker | Astralis (Foil) | Boston 2018
s6441,Sticker | Astralis (Foil) | Cologne 2016
s6442,Sticker | Astralis (Foil) | Krakow 2017
s6443,Sticker | Astralis (Foil) | MLG Columbus 2016
s6444,Sticker | Astralis (Holo) | Atlanta 2017
s6445,Sticker | Astralis (Holo) | Boston 2018
s6446,Sticker | Astralis (Holo) | Cologne 2016
s6447,Sticker | Astralis (Holo) | Krakow 2017
s6448,Sticker | Astralis (Holo) | MLG Columbus 2016
s6449,Sticker | Astralis | Atlanta 2017
s6450,Sticker | Astralis | Boston 2018
s6451,Sticker | Astralis | Cologne 2016
s6452,Sticker | Astralis | Krakow 2017
s6453,Sticker | Astralis | MLG Columbus 2016
s6454,Sticker | Attacker (Foil) | Boston 2018
s6455,Sticker | Attacker (Gold) | Boston 2018
s6456,Sticker | Attacker | Boston 2018
s6457,Sticker | Avangar (Foil) | Boston 2018
s6458,Sticker | Awp Country
s6459,Sticker | B1ad3 (Foil) | Atlanta 2017
s6460,Sticker | B1ad3 (Foil) | Boston 2018
s6461,Sticker | B1ad3 (Foil) | Cluj-Napoca 2015
s6462,Sticker | B1ad3 (Foil) | Cologne 2015
s6463,Sticker | B1ad3 (Foil) | Cologne 2016
s6464,Sticker | B1ad3 (Foil) | Krakow 2017
s6465,Sticker | B1ad3 (Foil) | MLG Columbus 2016
s6466,Sticker | B1ad3 (Gold) | Boston 2018
s6467,Sticker | B1ad3 (Gold) | Krakow 2017
s6468,Sticker | B1ad3 | Atlanta 2017
s6469,Sticker | B1ad3 | Boston 2018
s6470,Sticker | B1ad3 | Cluj-Napoca 2015
s6471,Sticker | B1ad3 | Cologne 2015
s6472,Sticker | B1ad3 | Cologne 2016
s6473,Sticker | B1ad3 | Krakow 2017
s6474,Sticker | B1ad3 | MLG Columbus 2016
s6475,Sticker | BIG (Foil) | Boston 2018
s6476,Sticker | BIG (Foil) | Krakow 2017
s6477,Sticker | BIG (Holo) | Boston 2018
s6478,Sticker | BIG (Holo) | Krakow 2017
s6479,Sticker | BIG | Boston 2018
s6480,Sticker | BIG | Krakow 2017
s6481,Sticker | BIT (Foil) | Boston 2018
s6483,Sticker | BIT | Boston 2018
s6484,Sticker | Baaa-ckstabber!
s6485,Sticker | Backstab
s6486,Sticker | Banana
s6487,Sticker | Bash (Holo)
s6488,Sticker | Basilisk
s6489,Sticker | Basilisk (Foil)
s6490,Sticker | Bish (Holo)
s6491,Sticker | Black Dog
s6492,Sticker | Blitzkrieg
s6493,Sticker | Blood Boiler
s6494,Sticker | BnTeT (Foil) | Boston 2018
s6495,Sticker | BnTeT (Foil) | London 2018
s6497,Sticker | BnTeT | Boston 2018
s6498,Sticker | BnTeT | London 2018
s6499,Sticker | Bomb Code
s6500,Sticker | Bomb Doge
s6501,Sticker | Bomb Squad (Foil)
s6502,Sticker | Bombsquad
s6503,Sticker | Bombsquad (Foil)
s6504,Sticker | Boom
s6505,Sticker | Boom (Foil)
s6506,Sticker | Boom (Holo)
s6507,Sticker | Boombl4 (Foil) | Boston 2018
s6508,Sticker | Boombl4 (Foil) | London 2018
s6509,Sticker | Boombl4 (Gold) | Boston 2018
s6510,Sticker | Boombl4 | Boston 2018
s6511,Sticker | Boombl4 | London 2018
s6512,Sticker | Boris
s6513,Sticker | Boris (Holo)
s6514,Sticker | Bosh (Holo)
s6515,Sticker | Bossy Burger
s6516,Sticker | Bravado Gaming | DreamHack 2014
s6517,Sticker | Bullet Rain
s6518,Sticker | Bullet Rain (Foil)
s6519,Sticker | Burn Them All
s6520,Sticker | COLDYY1 (Foil) | London 2018
s6521,Sticker | COLDYY1 | London 2018
s6522,Sticker | CS On The Mind
s6523,Sticker | CT in Banana
s6524,Sticker | Calyx (Foil) | Boston 2018
s6525,Sticker | Calyx (Gold) | Boston 2018
s6526,Sticker | Calyx | Boston 2018
s6527,Sticker | Calyx | London 2018
s6528,Sticker | Camper
s6529,Sticker | Camper (Foil)
s6530,Sticker | Cat Call
s6531,Sticker | Cerberus
s6532,Sticker | Chabo
s6533,Sticker | Chi Bomb
s6534,Sticker | Chicken Lover
s6535,Sticker | Chicken Strike
s6536,Sticker | Clan-Mystik (Holo) | Katowice 2014
s6537,Sticker | Clan-Mystik | Katowice 2014
s6538,Sticker | Cloud9 (Foil) | Boston 2018
s6539,Sticker | Cloud9 (Foil) | Cluj-Napoca 2015
s6540,Sticker | Cloud9 (Foil) | DreamHack 2014
s6541,Sticker | Cloud9 (Foil) | Krakow 2017
s6542,Sticker | Cloud9 (Foil) | London 2018
s6543,Sticker | Cloud9 (Foil) | MLG Columbus 2016
s6544,Sticker | Cloud9 (Holo) | Cologne 2014
s6545,Sticker | Cloud9 (Holo) | DreamHack 2014
s6546,Sticker | Cloud9 (Holo) | Krakow 2017
s6547,Sticker | Cloud9 (Holo) | London 2018
s6548,Sticker | Cloud9 (Holo) | MLG Columbus 2016
s6549,Sticker | Cloud9 G2A (Foil) | Cologne 2015
s6550,Sticker | Cloud9 G2A (Foil) | Katowice 2015
s6551,Sticker | Cloud9 G2A (Holo) | Katowice 2015
s6552,Sticker | Cloud9 G2A | Cologne 2015
s6553,Sticker | Cloud9 G2A | Katowice 2015
s6554,Sticker | Cloud9 | Cluj-Napoca 2015
s6555,Sticker | Cloud9 | Cologne 2014
s6556,Sticker | Cloud9 | DreamHack 2014
s6557,Sticker | Cloud9 | Krakow 2017
s6558,Sticker | Cloud9 | London 2018
s6559,Sticker | Cloud9 | MLG Columbus 2016
s6560,Sticker | Copenhagen Wolves (Holo) | Cologne 2014
s6561,Sticker | Copenhagen Wolves | Cologne 2014
s6562,Sticker | Copenhagen Wolves | DreamHack 2014
s6563,Sticker | Countdown
s6564,Sticker | Countdown (Foil)
s6565,Sticker | Countdown (Holo)
s6566,Sticker | Counter Logic Gaming (Foil) | Cluj-Napoca 2015
s6567,Sticker | Counter Logic Gaming (Foil) | Cologne 2015
s6568,Sticker | Counter Logic Gaming (Foil) | Cologne 2016
s6569,Sticker | Counter Logic Gaming (Foil) | Katowice 2015
s6570,Sticker | Counter Logic Gaming (Foil) | MLG Columbus 2016
